Year,State,Money spent on C and J (Billion),Population,Revenue,Money spent by tax payers
2022,New Jersey,142490525.07955742,9805303.872594327,1831711763.1459198,1577.9026637161924
2023,New Jersey,145559740.11213875,9884426.691847265,1869248723.291397,1608.91120314426
2024,New Jersey,148628955.14471912,9963549.511100173,1906785683.4368744,1639.9197425723178
2025,New Jersey,151698170.1772995,10042672.330353081,1944322643.5823517,1670.9282820003746
2026,New Jersey,154767385.20988083,10121795.14960599,1981859603.727829,1701.936821428444
2027,New Jersey,157836600.2424612,10200917.968858927,2019396563.8733063,1732.9453608565009
2028,New Jersey,160905815.27504158,10280040.788111836,2056933524.0187836,1763.9539002845586
2029,New Jersey,163975030.3076229,10359163.607364744,2094470484.1642609,1794.9624397126263
2030,New Jersey,167044245.3402033,10438286.426617682,2132007444.3097382,1825.970979140683
2031,New Jersey,170113460.37278366,10517409.24587059,2169544404.4552155,1856.9795185687417
2032,New Jersey,173182675.405365,10596532.065123498,2207081364.6006927,1887.9880579968094
2033,New Jersey,176251890.43794537,10675654.884376436,2244618324.74617,1918.9965974248657
2034,New Jersey,179321105.47052574,10754777.703629345,2282155284.8916473,1950.005136852923
2035,New Jersey,182390320.50310707,10833900.522882253,2319692245.0371246,1981.0136762809925
2036,New Jersey,185459535.53568745,10913023.342135161,2357229205.182602,2012.0222157090498
2037,New Jersey,188528750.56826782,10992146.1613881,2394766165.328079,2043.0307551371066
2038,New Jersey,191597965.60084915,11071268.980641007,2432303125.4735413,2074.039294565175
2039,New Jersey,194667180.63342953,11150391.799893916,2469840085.6190186,2105.047833993233
2040,New Jersey,197736395.6660099,11229514.619146854,2507377045.764496,2136.056373421289
2020,New Mexico,26286460.069707513,1085931.8298227042,168922158.66040325,1500.291942203985
2021,New Mexico,26691343.385361433,1023967.1157372296,169688096.68131542,1533.4951843761664
2022,New Mexico,27096226.701015234,962002.4016517699,170454034.7022276,1566.6984265483388
2023,New Mexico,27501110.016669154,900037.6875662953,171219972.72314,1599.9016687205185
2024,New Mexico,27905993.332323074,838072.9734808356,171985910.74405217,1633.1049108926964
2025,New Mexico,28310876.647976875,776108.259395361,172751848.76496434,1666.3081530648724
2026,New Mexico,28715759.963630795,714143.5453098863,173517786.78587675,1699.511395237052
